date,time,dryer_air_temperature,cooler_air_temperature,air_flow_rate,wet_product_feed_rate,product_inlet_temperature,residence_time,vacuum,steam_pressure,fan_speed,product_density,final_product_temp,final_moisture_h₂o,timestamp,temperature_drop,air_product_delta,air_per_feed,steam_temp_interaction,heating_index
2026-05-01,01:00:00,140.8,18.0,19.95,9.73,61.1,23.08,-0.98,4.2,78.9,1.021,45.6,0.081,2026-05-01 01:00:00,95.20000000000002,79.70000000000002,2.0503597122302155,591.3600000000001,3249.664
2026-05-01,03:00:00,139.6,22.8,19.94,9.82,61.2,21.95,-1.0,4.27,79.7,1.027,43.8,0.115,2026-05-01 03:00:00,95.8,78.39999999999999,2.0305498981670063,596.0919999999999,3064.22
2026-05-01,05:00:00,140.4,23.6,20.98,9.62,63.2,21.79,-1.01,4.13,82.1,1.026,43.1,0.084,2026-05-01 05:00:00,97.30000000000001,77.2,2.180873180873181,579.852,3059.316
2026-05-01,07:00:00,138.7,24.7,20.05,10.31,64.3,20.94,-1.13,4.13,83.1,1.024,44.5,0.105,2026-05-01 07:00:00,94.19999999999999,74.39999999999999,1.944713870029098,572.8309999999999,2904.378
2026-05-01,09:00:00,141.0,26.7,19.72,10.11,63.0,21.89,-0.98,4.66,82.8,1.03,46.5,0.083,2026-05-01 09:00:00,94.5,78.0,1.9505440158259149,657.0600000000001,3086.4900000000002
2026-05-01,11:00:00,141.0,28.1,20.68,9.56,61.1,21.84,-0.98,4.07,80.2,1.02,47.6,0.097,2026-05-01 11:00:00,93.4,79.9,2.1631799163179917,573.87,3079.44
2026-05-01,13:00:00,140.8,29.8,21.01,9.48,64.5,21.31,-1.26,4.31,78.9,1.017,45.9,0.069,2026-05-01 13:00:00,94.9,76.30000000000001,2.2162447257383966,606.848,3000.448
2026-05-01,15:00:00,142.8,27.7,20.35,10.4,63.0,21.8,-1.19,4.48,81.2,1.038,47.4,0.076,2026-05-01 15:00:00,95.4,79.80000000000001,1.9567307692307694,639.7440000000001,3113.0400000000004
2026-05-01,17:00:00,140.5,27.1,20.11,10.2,61.8,21.84,-1.03,4.17,77.9,1.031,46.6,0.082,2026-05-01 17:00:00,93.9,78.7,1.9715686274509805,585.885,3068.52
2026-05-01,19:00:00,139.7,26.1,20.4,9.8,61.4,22.53,-1.01,4.12,77.2,1.029,45.2,0.117,2026-05-01 19:00:00,94.49999999999999,78.29999999999998,2.081632653061224,575.564,3147.441
2026-05-01,21:00:00,140.4,23.1,19.98,9.66,62.6,21.87,-1.05,4.32,79.1,1.026,47.8,0.095,2026-05-01 21:00:00,92.60000000000001,77.80000000000001,2.0683229813664594,606.528,3070.5480000000002
2026-05-01,23:00:00,138.5,19.9,19.87,10.39,64.4,22.15,-1.16,4.27,82.0,1.019,47.0,0.102,2026-05-01 23:00:00,91.5,74.1,1.9124157844080847,591.395,3067.7749999999996
2026-05-02,01:00:00,140.7,21.9,20.5,9.37,59.3,21.76,-1.08,4.64,79.4,1.007,47.7,0.089,2026-05-02 01:00:00,92.99999999999999,81.39999999999999,2.1878335112059766,652.848,3061.632
2026-05-02,03:00:00,138.9,23.1,20.03,9.6,63.4,22.44,-1.11,3.99,80.2,1.011,46.1,0.102,2026-05-02 03:00:00,92.80000000000001,75.5,2.0864583333333337,554.211,3116.916
2026-05-02,05:00:00,139.8,24.5,20.85,9.95,62.5,21.06,-1.08,4.43,81.9,1.015,43.5,0.097,2026-05-02 05:00:00,96.30000000000001,77.30000000000001,2.0954773869346734,619.314,2944.188
2026-05-02,07:00:00,138.4,26.9,20.87,9.55,62.2,22.18,-1.17,4.02,80.0,1.021,45.6,0.101,2026-05-02 07:00:00,92.80000000000001,76.2,2.1853403141361256,556.3679999999999,3069.712
2026-05-02,09:00:00,141.7,27.8,20.45,10.21,60.1,23.02,-1.23,4.49,78.0,1.026,46.4,0.071,2026-05-02 09:00:00,95.29999999999998,81.6,2.0029382957884425,636.233,3261.9339999999997
2026-05-02,11:00:00,141.6,28.6,20.29,9.3,58.0,22.51,-1.09,4.31,79.0,1.016,45.8,0.079,2026-05-02 11:00:00,95.8,83.6,2.181720430107527,610.2959999999999,3187.416
2026-05-02,13:00:00,139.5,29.7,19.76,9.61,62.7,21.46,-1.09,4.52,81.4,1.022,43.2,0.101,2026-05-02 13:00:00,96.3,76.8,2.0561914672216446,630.54,2993.67
2026-05-02,15:00:00,139.6,27.9,19.46,9.42,59.4,23.13,-1.18,4.15,78.8,1.028,48.4,0.084,2026-05-02 15:00:00,91.19999999999999,80.19999999999999,2.0658174097664546,579.34,3228.948
2026-05-02,17:00:00,138.8,26.3,20.08,9.6,60.9,21.24,-1.09,4.23,78.4,1.014,45.5,0.09,2026-05-02 17:00:00,93.30000000000001,77.9,2.091666666666667,587.1240000000001,2948.112
2026-05-02,19:00:00,140.7,25.4,20.72,9.61,62.9,20.91,-1.05,4.81,81.9,1.025,48.0,0.072,2026-05-02 19:00:00,92.69999999999999,77.79999999999998,2.1560874089490114,676.7669999999999,2942.037
2026-05-02,21:00:00,142.0,23.0,20.18,9.51,59.0,23.0,-1.2,4.52,78.2,1.026,47.8,0.072,2026-05-02 21:00:00,94.2,83.0,2.121976866456362,641.8399999999999,3266.0
