date,time,dryer_air_temperature,cooler_air_temperature,air_flow_rate,wet_product_feed_rate,product_inlet_temperature,residence_time,vacuum,steam_pressure,fan_speed,product_density,final_product_temp,final_moisture_h₂o,timestamp,temperature_drop,air_product_delta,air_per_feed,steam_temp_interaction,heating_index
2026-04-23,01:00:00,139.0,23.2,23.62,10.0,47.7,20.96,-1.18,4.69,1270.0,1.023,41.0,0.075,2026-04-23 01:00:00,98.0,91.3,2.362,651.9100000000001,2913.44
2026-04-23,03:00:00,139.7,21.4,24.32,10.2,46.6,20.29,-0.63,4.78,1236.0,1.028,43.7,0.087,2026-04-23 03:00:00,95.99999999999999,93.1,2.3843137254901965,667.766,2834.5129999999995
2026-04-23,05:00:00,140.1,18.9,23.8,10.25,47.3,20.36,-1.08,4.81,1272.0,1.034,45.7,0.072,2026-04-23 05:00:00,94.39999999999999,92.8,2.3219512195121954,673.881,2852.4359999999997
2026-04-23,07:00:00,139.7,18.5,23.35,10.27,48.1,20.25,-0.65,4.77,1238.0,1.033,45.2,0.094,2026-04-23 07:00:00,94.49999999999999,91.6,2.2736124634858816,666.3689999999999,2828.9249999999997
2026-04-23,09:00:00,139.8,19.0,23.44,10.35,46.5,20.99,-1.1,4.84,1267.0,1.025,42.9,0.084,2026-04-23 09:00:00,96.9,93.30000000000001,2.2647342995169084,676.6320000000001,2934.402
2026-04-23,11:00:00,140.7,18.7,24.08,10.39,45.6,20.76,-1.05,5.11,1270.0,1.033,47.8,0.075,2026-04-23 11:00:00,92.89999999999999,95.1,2.317613089509143,718.977,2920.932
2026-04-23,13:00:00,140.5,19.7,24.0,10.44,47.9,20.74,-1.15,5.0,1282.0,1.032,49.1,0.07,2026-04-23 13:00:00,91.4,92.6,2.298850574712644,702.5,2913.97
2026-04-23,15:00:00,139.6,22.0,24.36,10.43,47.9,21.02,-1.18,4.86,1291.0,1.026,46.3,0.073,2026-04-23 15:00:00,93.3,91.69999999999999,2.335570469798658,678.456,2934.392
2026-04-23,17:00:00,140.2,23.7,24.47,10.32,48.6,21.73,-1.23,4.9,1274.0,1.037,46.1,0.052,2026-04-23 17:00:00,94.1,91.6,2.371124031007752,686.98,3046.546
2026-04-23,19:00:00,140.7,24.8,24.06,10.21,49.6,20.3,-1.0,4.89,1265.0,1.025,44.5,0.065,2026-04-23 19:00:00,96.19999999999999,91.1,2.356513222331048,688.0229999999999,2856.21
2026-04-23,21:00:00,141.0,24.4,25.1,10.36,48.7,20.5,-1.57,4.84,1309.0,1.025,43.3,0.067,2026-04-23 21:00:00,97.7,92.3,2.422779922779923,682.4399999999999,2890.5
2026-04-23,23:00:00,140.7,24.1,23.98,10.38,48.7,20.54,-1.26,4.85,1295.0,1.032,44.4,0.07,2026-04-23 23:00:00,96.29999999999998,91.99999999999999,2.3102119460500963,682.3949999999999,2889.9779999999996
2026-04-24,01:00:00,139.1,22.9,25.45,10.36,48.5,20.5,-1.39,5.06,1305.0,1.027,46.8,0.071,2026-04-24 01:00:00,92.3,90.6,2.4565637065637067,703.8459999999999,2851.5499999999997
2026-04-24,03:00:00,140.7,20.9,23.73,10.41,49.1,20.38,-0.99,4.89,1275.0,1.033,45.1,0.073,2026-04-24 03:00:00,95.6,91.6,2.2795389048991352,688.0229999999999,2867.4659999999994
2026-04-24,05:00:00,139.7,19.8,24.13,10.53,47.6,20.53,-0.88,4.84,1248.0,1.026,44.4,0.082,2026-04-24 05:00:00,95.29999999999998,92.1,2.291547958214625,676.1479999999999,2868.0409999999997
2026-04-24,07:00:00,140.4,19.1,24.79,10.56,46.3,20.17,-1.16,4.97,1286.0,1.028,47.3,0.078,2026-04-24 07:00:00,93.10000000000001,94.10000000000001,2.3475378787878785,697.788,2831.8680000000004
2026-04-24,09:00:00,140.2,18.5,23.9,10.49,46.0,20.79,-0.77,4.96,1253.0,1.031,47.5,0.079,2026-04-24 09:00:00,92.69999999999999,94.19999999999999,2.2783603431839845,695.3919999999999,2914.758
2026-04-24,11:00:00,139.5,19.7,23.89,10.63,47.3,20.53,-1.22,4.74,1274.0,1.025,43.6,0.086,2026-04-24 11:00:00,95.9,92.2,2.247412982126058,661.23,2863.935
2026-04-24,13:00:00,140.0,20.9,24.06,10.78,46.5,20.5,-0.95,4.99,1264.0,1.031,44.2,0.083,2026-04-24 13:00:00,95.8,93.5,2.2319109461966606,698.6,2870.0
2026-04-24,15:00:00,140.1,23.6,24.94,10.79,46.7,20.49,-1.45,5.09,1314.0,1.036,43.0,0.072,2026-04-24 15:00:00,97.1,93.39999999999999,2.311399443929565,713.1089999999999,2870.649
2026-04-24,17:00:00,140.9,25.3,24.28,10.84,48.8,20.44,-1.14,5.05,1276.0,1.034,44.1,0.073,2026-04-24 17:00:00,96.80000000000001,92.10000000000001,2.2398523985239853,711.545,2879.996
2026-04-24,19:00:00,140.6,26.2,24.5,10.92,48.9,19.99,-1.36,5.26,1289.0,1.034,45.0,0.079,2026-04-24 19:00:00,95.6,91.69999999999999,2.2435897435897436,739.5559999999999,2810.5939999999996
2026-04-24,21:00:00,141.1,25.8,23.99,10.96,47.7,20.78,-1.22,5.14,1295.0,1.026,42.6,0.075,2026-04-24 21:00:00,98.5,93.39999999999999,2.188868613138686,725.2539999999999,2932.058
2026-04-24,23:00:00,141.1,25.6,24.53,10.95,48.0,20.1,-1.15,5.15,1269.0,1.031,45.5,0.084,2026-04-24 23:00:00,95.6,93.1,2.240182648401827,726.6650000000001,2836.11
2026-04-25,01:00:00,141.4,23.6,24.42,10.93,47.2,19.34,-1.21,5.3,1283.0,1.031,44.7,0.101,2026-04-25 01:00:00,96.7,94.2,2.2342177493138156,749.42,2734.676
2026-04-25,03:00:00,139.6,21.3,24.5,10.91,46.8,19.62,-1.3,5.03,1293.0,1.033,47.5,0.103,2026-04-25 03:00:00,92.1,92.8,2.2456461961503207,702.188,2738.952
2026-04-25,05:00:00,141.3,19.3,23.2,10.72,46.1,19.53,-0.64,4.91,1237.0,1.032,46.4,0.105,2026-04-25 05:00:00,94.9,95.20000000000002,2.1641791044776117,693.7830000000001,2759.5890000000004
2026-04-25,07:00:00,140.7,18.6,23.84,10.76,43.2,20.05,-0.91,5.0,1252.0,1.025,45.2,0.109,2026-04-25 07:00:00,95.49999999999999,97.49999999999999,2.2156133828996283,703.5,2821.035
2026-04-25,09:00:00,141.3,18.8,21.97,10.57,45.0,20.16,-0.45,4.76,1188.0,1.039,46.7,0.104,2026-04-25 09:00:00,94.60000000000001,96.30000000000001,2.0785241248817408,672.5880000000001,2848.608
2026-04-25,11:00:00,140.5,20.1,22.61,10.47,45.9,20.09,-0.69,4.81,1240.0,1.023,44.4,0.098,2026-04-25 11:00:00,96.1,94.6,2.1595033428844315,675.805,2822.645
