Date,Time,Dryer Air Temperature,Cooler Air Temperature,Air Flow Rate,Wet Product Feed Rate,Product Inlet Temperature,Residence Time,Vacuum,Steam Pressure,Fan Speed,Product Density,Final Product Temp,Final Moisture (%H2O)
27/07/2026,17:30,139.34,24.27,23.91,10.14,47.77,20.60,-1.01,4.79,1265,1.0266,42.78,0.0820
27/07/2026,17:31,139.40,24.48,23.86,10.19,47.74,20.57,-1.00,4.78,1264,1.0273,42.77,0.0819
27/07/2026,17:32,139.31,24.66,23.82,10.22,47.83,20.57,-0.99,4.77,1265,1.0272,42.81,0.0820
27/07/2026,17:33,139.25,24.87,23.81,10.18,47.83,20.56,-1.02,4.78,1262,1.0273,42.84,0.0817
27/07/2026,17:34,139.17,25.06,23.87,10.18,47.73,20.56,-1.03,4.79,1264,1.0272,42.81,0.0819
27/07/2026,17:35,139.18,25.30,23.85,10.15,47.77,20.59,-1.00,4.78,1266,1.0274,42.78,0.0819
27/07/2026,17:36,139.16,25.46,23.81,10.17,47.65,20.59,-0.99,4.79,1266,1.0274,42.81,0.0824
27/07/2026,17:37,139.11,25.63,23.81,10.25,47.76,20.56,-1.00,4.76,1268,1.0273,42.90,0.0825
27/07/2026,17:38,139.02,25.77,23.80,10.23,47.84,20.57,-1.00,4.75,1272,1.0274,42.78,0.0825
27/07/2026,17:39,139.14,25.87,23.81,10.24,47.87,20.54,-0.99,4.74,1273,1.0274,42.96,0.0815
27/07/2026,17:40,139.15,26.05,23.84,10.25,47.93,20.54,-1.00,4.75,1268,1.0273,42.96,0.0813
27/07/2026,17:41,139.16,26.19,23.87,10.26,47.93,20.53,-1.00,4.75,1276,1.0269,42.91,0.0811
27/07/2026,17:42,139.15,26.37,23.90,10.26,47.88,20.56,-1.02,4.74,1281,1.0271,42.91,0.0808
27/07/2026,17:43,139.10,26.52,23.95,10.25,47.88,20.50,-1.03,4.75,1281,1.0267,42.93,0.0813
27/07/2026,17:44,139.13,26.63,23.96,10.20,47.86,20.49,-1.02,4.74,1277,1.0267,42.89,0.0807
27/07/2026,17:45,139.07,26.74,23.95,10.18,47.96,20.44,-1.03,4.75,1276,1.0266,42.80,0.0805
27/07/2026,17:46,139.08,26.87,23.95,10.19,48.04,20.47,-1.01,4.74,1272,1.0270,42.77,0.0806
27/07/2026,17:47,139.12,26.88,23.96,10.20,48.03,20.47,-0.99,4.75,1272,1.0272,42.69,0.0810
27/07/2026,17:48,139.13,26.95,23.89,10.17,47.97,20.48,-0.99,4.76,1270,1.0270,42.59,0.0812
27/07/2026,17:49,139.21,27.09,23.96,10.15,47.92,20.49,-1.02,4.77,1269,1.0269,42.66,0.0819
27/07/2026,17:50,139.21,27.15,23.95,10.13,47.94,20.48,-1.03,4.77,1271,1.0268,42.61,0.0818
27/07/2026,17:51,139.17,27.19,23.94,10.12,47.98,20.50,-1.06,4.77,1268,1.0267,42.67,0.0810
27/07/2026,17:52,139.27,27.23,23.97,10.09,48.00,20.53,-1.05,4.79,1267,1.0268,42.73,0.0805
