Date,Time,Dryer Air Temperature,Cooler Air Temperature,Air Flow Rate,Wet Product Feed Rate,Product Inlet Temperature,Residence Time,Vacuum,Steam Pressure,Fan Speed,Product Density,Final Product Temp,Final Moisture (%H2O)
27/07/2026,17:30,139.34,24.27,23.91,10.14,47.77,20.6,-1.01,4.79,1265,1.0266,42.78,0.082
27/07/2026,17:31,139.4,24.48,23.86,10.19,47.74,20.57,-1,4.78,1264,1.0273,42.77,0.0819
27/07/2026,17:32,139.31,24.66,23.82,10.22,47.83,20.57,-0.99,4.77,1265,1.0272,42.81,0.082
27/07/2026,17:33,139.25,24.87,23.81,10.18,47.83,20.56,-1.02,4.78,1262,1.0273,42.84,0.0817
27/07/2026,17:34,139.17,25.06,23.87,10.18,47.73,20.56,-1.03,4.79,1264,1.0272,42.81,0.0819
27/07/2026,17:35,139.18,25.3,23.85,10.15,47.77,20.59,-1,4.78,1266,1.0274,42.78,0.0819
27/07/2026,17:36,139.16,25.46,23.81,10.17,47.65,20.59,-0.99,4.79,1266,1.0274,42.81,0.0824
27/07/2026,17:37,139.11,25.63,23.81,10.25,47.76,20.56,-1,4.76,1268,1.0273,42.9,0.0825
27/07/2026,17:38,139.02,25.77,23.8,10.23,47.84,20.57,-1,4.75,1272,1.0274,42.78,0.0825
27/07/2026,17:39,139.14,25.87,23.81,10.24,47.87,20.54,-0.99,4.74,1273,1.0274,42.96,0.0815
27/07/2026,17:40,139.15,26.05,23.84,10.25,47.93,20.54,-1,4.75,1268,1.0273,42.96,0.0813
27/07/2026,17:41,139.16,26.19,23.87,10.26,47.93,20.53,-1,4.75,1276,1.0269,42.91,0.0811
27/07/2026,17:42,139.15,26.37,23.9,10.26,47.88,20.56,-1.02,4.74,1281,1.0271,42.91,0.0808
27/07/2026,17:43,139.1,26.52,23.95,10.25,47.88,20.5,-1.03,4.75,1281,1.0267,42.93,0.0813
27/07/2026,17:44,139.13,26.63,23.96,10.2,47.86,20.49,-1.02,4.74,1277,1.0267,42.89,0.0807
27/07/2026,17:45,139.07,26.74,23.95,10.18,47.96,20.44,-1.03,4.75,1276,1.0266,42.8,0.0805
27/07/2026,17:46,139.08,26.87,23.95,10.19,48.04,20.47,-1.01,4.74,1272,1.027,42.77,0.0806
27/07/2026,17:47,139.12,26.88,23.96,10.2,48.03,20.47,-0.99,4.75,1272,1.0272,42.69,0.081
27/07/2026,17:48,139.13,26.95,23.89,10.17,47.97,20.48,-0.99,4.76,1270,1.027,42.59,0.0812
27/07/2026,17:49,139.21,27.09,23.96,10.15,47.92,20.49,-1.02,4.77,1269,1.0269,42.66,0.0819
27/07/2026,17:50,139.21,27.15,23.95,10.13,47.94,20.48,-1.03,4.77,1271,1.0268,42.61,0.0818
27/07/2026,17:51,139.17,27.19,23.94,10.12,47.98,20.5,-1.06,4.77,1268,1.0267,42.67,0.081
27/07/2026,17:52,139.27,27.23,23.97,10.09,48,20.53,-1.05,4.79,1267,1.0268,42.73,0.0805
27/07/2026,17:53,139.36,27.29,23.93,10.09,48.03,20.51,-1.06,4.79,1266,1.0269,42.7,0.08
27/07/2026,17:54,139.36,27.4,23.88,10.11,47.97,20.52,-1.09,4.8,1264,1.0264,42.9,0.0799
27/07/2026,17:55,139.38,27.46,23.83,10.11,48.14,20.56,-1.11,4.82,1265,1.0261,42.97,0.0798
27/07/2026,17:56,139.41,27.5,23.86,10.11,48.08,20.56,-1.09,4.83,1259,1.0263,42.99,0.0802
27/07/2026,17:57,139.36,27.56,23.82,10.17,48.15,20.56,-1.06,4.8,1256,1.0262,43.03,0.0811
27/07/2026,17:58,139.41,27.59,23.78,10.19,48.12,20.58,-1.04,4.8,1255,1.0261,43.07,0.0809
27/07/2026,17:59,139.39,27.69,23.76,10.2,48.17,20.61,-1,4.81,1258,1.0261,43.01,0.08
27/07/2026,18:00,139.51,27.71,23.74,10.16,48.16,20.6,-1.01,4.82,1262,1.0264,43.19,0.0797
27/07/2026,18:01,139.61,27.74,23.74,10.18,48.05,20.61,-0.99,4.81,1259,1.0263,43.38,0.0796
27/07/2026,18:02,139.56,27.72,23.76,10.2,48.02,20.56,-0.97,4.81,1257,1.0265,43.45,0.0797
27/07/2026,18:03,139.49,27.78,23.73,10.2,47.97,20.6,-0.97,4.8,1259,1.0265,43.49,0.0798
27/07/2026,18:04,139.49,27.79,23.76,10.24,47.96,20.58,-0.95,4.82,1257,1.0268,43.51,0.0797
