Date,Time,Dryer Air Temperature,Cooler Air Temperature,Air Flow Rate,Wet Product Feed Rate,Product Inlet Temperature,Residence Time,Vacuum,Steam Pressure,Fan Speed,Product Density,Final Product Temp,Final Moisture (%H2O)
2026-08-04,10:00:00,177.016,24.664,24048.750,26.000,62.796,24.596,48.097,8.250,1325.000,0.9541,47.302,0.7506
2026-08-04,10:00:05,177.286,24.664,24148.962,26.147,62.908,24.543,48.303,8.258,1326.296,,,
2026-08-04,10:00:10,177.440,24.665,24209.109,26.231,62.985,24.513,48.463,8.266,1327.556,,,
2026-08-04,10:00:15,177.418,24.666,24209.286,26.218,63.005,24.518,48.551,8.272,1328.744,,,
2026-08-04,10:00:20,177.250,24.666,24159.622,26.123,62.974,24.551,48.567,8.276,1329.827,,,
2026-08-04,10:00:25,177.039,24.667,24094.841,26.000,62.919,24.594,48.536,8.277,1330.776,,,
2026-08-04,10:00:30,176.911,24.668,24056.283,25.914,62.871,24.624,48.490,8.276,1331.564,,,
2026-08-04,10:00:35,176.945,24.669,24070.581,25.908,62.854,24.625,48.453,8.272,1332.171,,,
2026-08-04,10:00:40,177.137,24.669,24135.878,25.979,62.868,24.598,48.431,8.267,1332.580,,,
2026-08-04,10:00:45,177.398,24.670,24222.623,26.085,62.893,24.559,48.406,8.260,1332.783,,,
2026-08-04,10:00:50,177.598,24.671,24288.555,26.163,62.901,24.530,48.353,8.252,1332.775,,,
2026-08-04,10:00:55,177.638,24.672,24300.220,26.163,62.868,24.530,48.255,8.245,1332.560,,,
2026-08-04,10:01:00,177.493,24.672,24250.047,26.076,62.794,24.561,48.118,8.238,1332.147,,,
2026-08-04,10:01:05,177.231,24.673,24160.271,25.939,62.700,24.610,47.969,8.234,1331.550,,,
2026-08-04,10:01:10,176.976,24.674,24071.689,25.816,62.621,24.655,47.849,8.232,1330.790,,,
2026-08-04,10:01:15,176.845,24.674,24023.001,25.767,62.591,24.675,47.796,8.232,1329.893,,,
2026-08-04,10:01:20,176.891,24.675,24031.269,25.818,62.623,24.658,47.824,8.235,1328.888,,,
